string,x,y
911,-420.0,207.8
912,-380.0,207.8
913,-340.0,207.8
914,-300.0,207.8
915,-260.0,207.8
916,-220.0,207.8
917,-180.0,207.8
918,-140.0,207.8
919,-100.0,207.8
920,-60.0,207.8
921,-20.0,207.8
922,20.0,207.8
923,60.0,207.8
924,100.0,207.8
925,140.0,207.8
926,180.0,207.8
927,220.0,207.8
928,260.0,207.8
929,300.0,207.8
930,340.0,207.8
931,380.0,207.8
932,420.0,207.8
933,460.0,207.8
934,500.0,207.8
935,540.0,207.8
936,580.0,207.8
937,620.0,207.8
938,660.0,207.8
939,700.0,207.8
940,740.0,207.8
941,-720.0,242.5
942,-680.0,242.5
943,-640.0,242.5
944,-600.0,242.5
945,-560.0,242.5
946,-520.0,242.5
947,-480.0,242.5
948,-440.0,242.5
949,-400.0,242.5
950,-360.0,242.5
951,-320.0,242.5
952,-280.0,242.5
953,-240.0,242.5
954,-200.0,242.5
955,-160.0,242.5
956,-120.0,242.5
957,-80.0,242.5
958,-40.0,242.5
959,0.0,242.5
960,40.0,242.5
961,80.0,242.5
962,120.0,242.5
963,160.0,242.5
964,200.0,242.5
965,240.0,242.5
966,280.0,242.5
967,320.0,242.5
968,360.0,242.5
969,400.0,242.5
970,440.0,242.5
971,480.0,242.5
972,520.0,242.5
973,560.0,242.5
974,600.0,242.5
975,640.0,242.5
976,680.0,242.5
977,720.0,242.5
978,-700.0,277.1
979,-660.0,277.1
980,-620.0,277.1
981,-580.0,277.1
982,-540.0,277.1
983,-500.0,277.1
984,-460.0,277.1
985,-420.0,277.1
986,-380.0,277.1
987,-340.0,277.1
988,-300.0,277.1
989,-260.0,277.1
990,-220.0,277.1
991,-180.0,277.1
992,-140.0,277.1
993,-100.0,277.1
994,-60.0,277.1
995,-20.0,277.1
996,20.0,277.1
997,60.0,277.1
998,100.0,277.1
999,140.0,277.1
1000,180.0,277.1
1001,220.0,277.1
1002,260.0,277.1
1003,300.0,277.1
1004,340.0,277.1
1005,380.0,277.1
1006,420.0,277.1
1007,460.0,277.1
1008,500.0,277.1
1009,540.0,277.1
1010,580.0,277.1
1011,620.0,277.1
1012,660.0,277.1
1013,700.0,277.1
1014,-680.0,311.8
1015,-640.0,311.8
1016,-600.0,311.8
1017,-560.0,311.8
1018,-520.0,311.8
1019,-480.0,311.8
1020,-440.0,311.8
1021,-400.0,311.8
1022,-360.0,311.8
1023,-320.0,311.8
1024,-280.0,311.8
1025,-240.0,311.8
1026,-200.0,311.8
1027,-160.0,311.8
1028,-120.0,311.8
1029,-80.0,311.8
1030,-40.0,311.8
1031,0.0,311.8
1032,40.0,311.8
1033,80.0,311.8
1034,120.0,311.8
1035,160.0,311.8
1036,200.0,311.8
1037,240.0,311.8
1038,280.0,311.8
1039,320.0,311.8
1040,360.0,311.8
1041,400.0,311.8
1042,440.0,311.8
1043,480.0,311.8
1044,520.0,311.8
1045,560.0,311.8
1046,600.0,311.8
1047,640.0,311.8
1048,680.0,311.8
1049,-660.0,346.4
1050,-620.0,346.4
1051,-580.0,346.4
1052,-540.0,346.4
1053,-500.0,346.4
1054,-460.0,346.4
1055,-420.0,346.4
1056,-380.0,346.4
1057,-340.0,346.4
1058,-300.0,346.4
1059,-260.0,346.4
1060,-220.0,346.4
1061,-180.0,346.4
1062,-140.0,346.4
1063,-100.0,346.4
1064,-60.0,346.4
1065,-20.0,346.4
1066,20.0,346.4
1067,60.0,346.4
1068,100.0,346.4
1069,140.0,346.4
1070,180.0,346.4
1071,220.0,346.4
1072,260.0,346.4
1073,300.0,346.4
1074,340.0,346.4
1075,380.0,346.4
1076,420.0,346.4
1077,460.0,346.4
1078,500.0,346.4
1079,540.0,346.4
1080,580.0,346.4
1081,620.0,346.4
1082,660.0,346.4
1083,-680.0,381.1
